@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N10-R72-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
0,108.817824,-100.812285,-5.559883,-2.456048,106.226676,480.955868,-375.855025,-477.297777,95.013379,-377.517794,1,cluster0
1,177.043305,-167.118654,-3.502207,-0.942236,175.439426,1779.52632,-1606.581047,-1773.45375,166.127921,-1608.001329,1,cluster0
2,855.969117,-820.834466,-5.017751,-2.383302,844.184243,3916.755773,-3070.700915,-3909.54871,820.228248,-3076.693811,1,cluster0
3,69.61805,-63.692704,-2.419675,-0.254611,68.745097,329.210897,-262.613543,-324.160237,63.438093,-262.076608,1,cluster1
4,69.614586,-63.692704,-2.416211,-0.251147,68.745097,329.210897,-262.613543,-324.153309,63.441557,-262.076608,1,cluster1
5,34.767456,-20.78461,-6.794835,-3.204294,25.980762,93.530744,-70.754275,-90.712697,17.580316,-67.549981,1,cluster0
6,3.247595,-7.359484,-5.175368,-1.946825,4.156922,192.881178,-187.615743,-186.036113,6.427641,-188.17,1,cluster0
7,26.909141,-14.809034,-6.869314,-3.256256,19.052559,84.87049,-69.074186,-81.971037,11.552779,-65.817931,1,cluster0
8,784.939445,-758.943095,-0.006928,-0.795011,771.559353,2172.667213,-1406.944871,-2179.841367,752.683463,-1416.003497,1,cluster0
9,74.130043,-72.384135,-1.62986,-1.42721,74.911197,1297.288734,-1223.50337,-1293.519792,71.596052,-1223.815139,1,cluster0
10,2.688143,-8.119854,-3.325538,-0.800207,10.392305,31.384761,-24.317993,-30.522199,8.982415,-27.643531,1,cluster1
11,19.251745,-17.838391,-1.860223,-1.806529,18.844713,317.363669,-300.493495,-317.309976,16.599975,-300.545456,1,cluster1
12,108.589193,-100.999347,-6.089891,-1.950289,106.278638,450.852825,-346.410162,-448.119649,94.822854,-348.211494,1,cluster0
13,9.462194,-8.516494,-1.558846,-1.558846,10.56551,40.183579,-32.73576,-37.031246,13.193031,-32.73576,1,cluster1
14,31.563162,-43.091692,-6.948988,5.565079,32.908965,353.199801,-313.483876,-347.239814,46.197259,-317.831323,1,cluster0
15,99.301937,-85.478439,-4.617647,-1.718194,92.335629,426.153781,-334.545613,-429.436017,88.760676,-338.945023,1,cluster0
16,60.122948,-50.537778,-6.529832,-2.369446,53.693575,180.427733,-131.635861,-182.814499,44.894757,-136.537565,1,cluster0
17,225.96508,-106.7792,-4.295486,-3.4208,165.757262,796.033231,-633.930596,-801.896223,99.062914,-637.585223,1,cluster0
18,5.043732,-4.330127,-2.878668,-3.663287,7.569062,120.602698,-115.597071,-115.297426,4.477351,-115.57975,1,cluster1
19,161.451384,-148.265281,-13.996703,-0.68416,162.016033,318.298977,-163.97325,-320.013707,144.002704,-168.978877,1,cluster0
20,23.490073,-8.949507,-1.262665,-1.262665,15.588457,39.837169,-24.248711,-42.362499,7.686841,-24.248711,1,cluster1
21,115.922696,-113.229357,-4.463495,-0.753442,115.399617,3908.944224,-3798.629908,-3909.406682,108.660207,-3801.16563,1,cluster0
22,29.19718,-13.071787,-5.791978,-1.401229,15.69238,58.889727,-38.105118,-61.690454,16.063039,-38.105118,1,cluster0
23,8.840387,-10.736983,-7.27981,-1.155278,8.660254,116.480417,-110.851252,-118.887967,5.546027,-113.882341,1,cluster0
24,50.406143,-28.637728,-0.678964,-0.678964,38.105118,142.028166,-101.428895,-143.046612,27.619282,-103.923048,1,cluster1
25,115.915768,-113.236286,-4.463495,-0.753442,115.399617,3907.212173,-3796.897857,-3907.674631,108.667136,-3799.43358,1,cluster0
26,50.406143,-28.637728,-0.678964,-0.678964,38.105118,142.028166,-101.428895,-143.046612,27.619282,-103.923048,1,cluster1
27,16.664061,-10.494496,0,-0.637395,20.78461,78.531184,-66.389507,-76.276053,18.500035,-60.621778,1,cluster1
28,20.822715,-12.124356,-0.609682,5.158047,13.28483,62.353829,-43.30127,-63.573193,17.282403,-43.30127,1,cluster1
29,113.009387,-111.912999,4.868795,-0.157617,112.063687,220.057055,-111.370867,-227.799322,110.629549,-118.160506,1,cluster1
30,14.628901,-15.941796,0,-1.534597,19.347008,104.217497,-80.817491,-95.602276,10.3542,-82.84399,1,cluster1
31,21.184713,-12.281972,-0.609682,-3.658091,13.804445,79.726299,-55.425626,-73.497844,13.871995,-55.425626,1,cluster1
32,18.264476,-21.789199,-8.185672,-2.338269,18.584905,149.475985,-136.03527,-148.150966,16.955045,-139.308846,1,cluster0
33,3.238935,-5.715768,-8.888885,0,17.026059,29.444864,-20.78461,-21.079058,-3.173117,-20.78461,1,cluster0
