@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N35-R71-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute K29 numeric
@attribute K30 numeric
@attribute K31 numeric
@attribute K32 numeric
@attribute K33 numeric
@attribute K34 numeric
@attribute K35 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
0,7.239972,-479.847356,108.111147,588.273736,106.763612,-5.005627,-1.108513,-3.103835,480.401612,-484.852983,2.234346,-376.980858,9.294185,-10.402697,-482.286083,-4.118817,-1.108513,-584.241522,4.271237,-479.514802,104.86182,-486.907195,-103.753307,114.61673,9.294185,-99.149516,-1.441066,-102.644795,484.852983,98.834283,-10.402697,-8.168352,-99.703773,-5.005627,-480.401612,1,cluster0
1,7.136049,-1780.215676,175.359752,1952.090542,182.901101,-5.403999,-0.730925,-5.345109,1777.517141,-1787.417544,0.6755,-1606.317775,10.7595,-13.066591,-1784.341421,-3.27704,-0.045033,-1946.631118,7.281542,-1773.585386,174.604578,-1787.147344,-174.514511,183.954188,11.008915,-165.729549,-2.023035,-169.692482,1787.195841,165.840401,-17.015667,-9.117515,-165.978965,-8.885421,-1773.013809,1,cluster0
2,2.320948,-3910.440716,843.006449,4754.219659,841.066552,-6.796567,-3.521259,-0.296181,3912.259369,-3911.606386,1.569238,-3073.732004,17.064165,-18.233299,-3911.718969,0.043301,3.704857,-4742.796784,12.074126,-3909.273314,841.482244,-3924.321371,-838.719623,854.086378,18.430753,-822.665244,-1.953753,-839.1561,3915.468859,821.485717,-16.99315,-17.824535,-823.796273,-6.997485,-3913.049184,1,cluster0
3,4.970986,-332.467153,68.445452,394.595815,76.955017,0.017321,0.853901,-3.405212,329.730512,-336.092335,1.091192,-264.345594,5.334716,-8.291327,-331.57861,-1.548453,1.865419,-394.214764,5.589328,-323.38601,70.672869,-337.264933,-70.435578,75.662907,8.308648,-63.455413,-0.836581,-68.208161,336.092335,63.929995,-11.634185,-5.572007,-64.22964,-7.672985,-325.313783,1,cluster1
4,4.970986,-332.467153,68.441988,394.595815,76.955017,0.017321,0.857365,-3.41214,329.730512,-336.095799,1.091192,-264.345594,5.338181,-8.291327,-331.575146,-1.541525,1.861955,-394.2113,5.589328,-323.382546,70.676333,-337.268397,-70.442506,75.659443,8.308648,-63.458877,-0.840045,-68.208161,336.095799,63.926531,-11.634185,-5.572007,-64.22964,-7.672985,-325.313783,1,cluster1
5,0,-96.735038,25.980762,119.511506,25.980762,3.204294,2.818047,0.386247,93.530744,-93.144496,0,-67.549981,1.605611,-5.196152,-90.32645,-0.386247,3.590541,-117.519647,5.196152,-93.530744,29.185056,-98.340649,-28.798809,34.381209,8.400446,-20.398362,0,-29.571303,93.144496,20.78461,-5.196152,-1.991858,-20.78461,0,-96.735038,1,cluster1
6,8.331164,-193.528965,9.522815,195.358011,16.922136,-3.973325,-2.310556,-5.182296,192.974709,-204.444349,1.569238,-186.524551,0.122976,-7.789032,-194.734472,0.2702,1.662769,-196.090668,0.677232,-184.927601,11.538922,-197.344673,-8.306916,8.443748,7.882563,-3.940416,-2.026499,-5.074909,200.564555,0.438209,-10.671165,-4.557026,-7.359484,-9.439677,-186.767039,1,cluster1
7,0,-88.126745,19.052559,103.923048,19.052559,3.256256,2.899453,0.356802,84.87049,-84.513687,0,-65.817931,0.630466,-4.243524,-81.614234,-0.356802,3.613058,-102.935779,4.243524,-84.87049,22.308814,-88.757212,-21.952012,26.552339,7.49978,-14.452232,0,-22.665617,84.513687,14.809034,-4.243524,-0.987269,-14.809034,0,-88.126745,1,cluster1
8,-0.259808,-2177.837384,773.814483,2945.854693,771.597458,-6.188618,-1.28345,1.042695,2175.963305,-2179.164135,2.021303,-1400.920798,16.742003,-23.159251,-2176.650929,-4.470423,1.396033,-2932.183616,21.415076,-2172.313874,766.096464,-2194.672918,-769.257457,779.466165,19.471715,-754.195543,-0.297913,-765.840121,2184.443426,753.644751,-22.21182,-17.414039,-754.903952,-5.317396,-2174.797635,1,cluster0
9,2.73664,-1295.679659,76.184255,1371.195342,77.37071,-3.102103,-0.710141,-2.521866,1296.788172,-1300.146618,-1.491296,-1223.971024,3.827832,-4.309342,-1299.32043,-1.979734,-0.192258,-1370.961515,2.613665,-1294.872523,73.932589,-1298.101066,-73.866771,78.068726,3.393088,-71.466148,-0.323894,-70.885911,1300.354464,71.126666,-6.250971,-3.843421,-71.448828,-4.035678,-1295.868453,1,cluster0
