@relation spambase-weka.filters.unsupervised.attribute.RandomProjection-N20-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1}

@data
0,4.451371,-0.554256,1.108513,-0.554256,-107.335189,94.126569,2.788602,0.554256,-5.559883,475.004542,-0.554256,480.955868,484.298726,480.384291,483.411916,483.966173,-481.749148,-99.319257,-372.8274,-3.897114,1,cluster1
1,7.444354,-1.693946,0.256344,-2.639645,-174.154245,159.947964,-0.19399,-1.596951,-9.020521,1771.066984,-0.242487,1782.363419,1783.752524,1780.014759,1781.400399,1783.704027,-1781.296476,-168.209846,-1602.67354,-4.108425,1,cluster1
2,6.841601,-0.484974,-0.80194,-0.299645,-840.462066,815.794198,0.289252,-0.980341,-4.013162,3892.960859,-2.217025,3914.452146,3914.422701,3911.483411,3911.11968,3914.081487,-3912.349436,-834.467438,-3065.534208,-0.370659,1,cluster1
3,6.599114,1.091192,0.299645,-0.774227,-69.044741,56.019719,1.390837,-0.536936,-5.270631,323.921214,-1.091192,334.07796,335.475725,329.747833,332.132867,331.058995,-332.150187,-66.879678,-260.510834,-3.342858,1,cluster1
4,6.599114,1.091192,0.303109,-0.770763,-69.048205,56.019719,1.394301,-0.536936,-5.274095,323.924678,-1.091192,334.07796,335.472261,329.747833,332.129403,331.055531,-332.146723,-66.883142,-260.517762,-3.342858,1,cluster1
5,3.204294,3.204294,-0.386247,-0.386247,-25.594515,17.580316,2.818047,0,0.386247,87.948344,-3.204294,96.735038,93.916991,93.530744,93.530744,93.530744,-96.735038,-22.776468,-63.95944,0,1,cluster1
6,6.668396,1.108513,-0.093531,-1.202043,-7.482459,-6.514243,6.003288,3.419068,-11.008915,190.908372,-3.325538,196.206715,197.980336,191.679135,197.045028,193.719491,-193.719491,-3.225079,-187.698882,-3.436389,1,cluster1
7,3.256256,3.256256,-0.356802,-0.356802,-18.695756,11.552779,2.899453,0,0.356802,80.270163,-3.256256,88.126745,85.227292,84.87049,84.87049,84.87049,-88.126745,-15.796303,-62.204873,0,1,cluster1
8,2.445656,1.797869,0.587165,-3.098639,-774.126252,748.585431,-7.155102,1.446262,-4.588203,2164.75174,-1.056551,2179.59888,2179.306163,2176.278538,2176.167687,2181.225276,-2177.484046,-764.541083,-1397.91569,8.952971,1,cluster1
9,4.43405,-0.883346,1.610807,-0.32909,-73.440686,68.677547,-0.190526,-0.171473,-4.399409,1293.893915,-0.259808,1296.301465,1298.812939,1298.412835,1298.525419,1299.027713,-1296.845329,-69.706385,-1221.589454,-3.119424,1,cluster1
10,6.651075,-1.662769,0,-1.662769,-10.392305,-0.19399,1.662769,0,-9.976613,34.100616,-1.662769,43.024142,39.698605,34.710298,37.173274,37.173274,-38.836043,-7.929329,-23.517786,-1.662769,1,cluster1
11,2.442192,0.450333,0.789815,-1.371784,-18.33549,14.703379,-0.110851,0.450333,-3.924827,316.468199,-0.620074,318.697349,319.878607,319.147682,319.530465,321.217483,-319.845698,-15.929671,-298.42023,-2.064605,1,cluster1
12,4.208883,-0.606218,0.491902,-1.30943,-107.965655,93.776695,2.882133,0.588897,-5.913221,445.511181,-0.588897,451.459043,455.799562,450.246607,454.01555,454.639088,-452.231538,-99.513247,-343.133121,-3.602666,1,cluster1
13,4.711178,1.558846,1.558846,-1.558846,-10.56551,2.24647,1.558846,0,-7.82887,39.693408,-1.558846,46.418962,46.453603,40.183579,44.860116,44.860116,-44.860116,-10.56551,-31.176915,-1.593487,1,cluster1
14,8.625613,0.623538,1.676625,-3.25972,-48.19951,31.971926,5.989432,0.623538,-10.943097,350.873656,-1.229756,365.566643,347.24501,358.136145,351.964848,351.358631,-356.294975,-31.736367,-321.366439,-15.449893,1,cluster1
15,3.671948,3.671948,0.618342,-1.581362,-97.462499,83.244094,2.090585,1.581362,-7.962238,422.71566,-2.927166,437.134983,429.207386,434.826159,430.07168,431.543923,-434.471089,-90.508315,-335.553667,-5.25331,1,cluster1
